€144,000 	 Coogue North, Aghamore, Ballyhaunis, Co. Mayo
AMV €120,000 	 15 Lakeside, Mount Falcon, Ballina, Mayo
AMV €80,000 	 20 Dun na Ri, Swinford, Mayo
AMV €45,000 	 Ballybane, Brickens, Tulrohan, Claremorris, Mayo
€149,000 	 Riverside Drive, Ballina, Mayo
€100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
€590,000 	 Derrypark Lodge & Cottages - Lot 1a, Tourmakeady, Co Mayo, F12 VR83
€285,000 	 Glenbeg Cottage - Lot 2, Tourmakeady, Co Mayo, F12 D284
€309,000 	 2 Cluain Padraig, The Quay, Westport, Co Mayo, F28 V970
€95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
€255,000  -€10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
€145,000 	 Flughany, Doocastle, Co. Mayo
€60,000 	 2 Waldrons Terrace, Upper Main Street, Ballyhaunis, Co. Mayo
€295,000 	 The Quay, Westport, Co Mayo, F28 N7N3
€220,000 	 The Clover, Rossport, Mayo
€125,000 	 29 Hazelhill Downs, Ballyhaunis, Mayo
€350,000 	 Prison South, Balla, Co. Mayo
AMV €50,000 	 2 Forest Grove, Killybrone, Killala, Mayo
€245,000 	 Carrs Cottage, Bunowen, Louisburgh, Mayo
POA 	 Lecanvey, Westport, Mayo
